"Marca temporal","¿Qué edad tiene? (años)","¿Cuántas personas viven en su hogar?","¿Tiene agua potable en su domicilio?","¿De dónde obtiene el agua?","En el caso de que la tenga, ¿desde qué año esta condición se cumple?","¿Consume agua potable o compra agua mineral?","De entre las siguientes categorías, ¿cuál diría que es con la que usted consume más agua?","De los siguientes factores, ¿cuál diría que es más determinante con respecto a los problemas de acceso al agua?","En promedio, ¿cuántos minutos ocupa para bañarse?","¿Tiene ducha de alto o bajo flujo?","¿Cuántos minutos diarios deja correr el agua para la limpieza con (lavabo, ropa, trapos, etc.)? ","¿Cómo lava los platos?","¿Tiene un sistema de aguas grises instalado?","¿Tiene un barril pluvial?","¿Tiene relevancia la cuestión ambiental en su voto?","¿En qué provincia reside?","(En el caso de que resida en Buenos Aires) ¿A qué distancia se encuentra respecto a CABA (km)? (puede tomar como referencia al Congreso)","¿Tiene auto?","En caso de que lo tenga y exceptuando esta coyuntura de la pandemia, ¿cuántos kilometros por día recorre?","Si tiene pileta, ¿cada cuántos meses la vuelve a llenar? (en el caso que tenga filtro, conteste cero)","¿Recicla? (plástico, latas, cartón, telas, etc.)","¿Quién cree que es el grupo socioeconómico que más contamina?","Y, ¿qué actividad cree que consume más?","¿Cuánta carne por semana consume? (kg)","Siendo honesto/a, ¿cuál de los siguientes términos es su prioridad?","¿La suma de los ingresos de su hogar supera el umbral de la CBT según la cantidad de los miembros? (1 persona : $14.178; 2 personas : $28.356; 3 personas : $34.878; 4 personas : $43.811; 5 personas : $46.079)","¿A qué grupo pertenece?","¿Cuántos días cree que podría vivir una persona de un país afectado, con el agua que se usa en 15 minutos de ducha?","¿En quién confía más para revertir la situación y cuál cree que es la solución?","Para finalizar, ¿cree que su consumo es racional?"
"2020/08/03 11:23:30 p. m. GMT-3","28","4","Sí","Red pública en la vivienda","1991","Agua mineral","Agua Interna (consumida en las actividades domésticas)","Contaminación industrial","15","Bajo","30","A mano","No","No","Sí","Buenos Aires","20 ","No","40","","Parcialmente","Clase alta","Industrial","2","Ahorrar dinero","Si","Clase media","5","Fortalecer al Estado","No"
"2020/08/04 1:04:27 a. m. GMT-3","70","3","Sí","Red pública en la vivienda","1953","Agua potable","Agua Interna (consumida en las actividades domésticas)","Cantidad de agua dulce insuficiente","15","Bajo","10","A mano","No","No","Sí","Buenos Aires","22","Sí","15","000","Parcialmente","Clase media","Agropecuaria","1","Ahorrar agua","No","Clase media","2","Fortalecer al sector privado","Sí"
"2020/08/04 12:11:55 p. m. GMT-3","614","4","Sí","Red pública en la vivienda","1990","Agua potable","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","5","Alto","240","Lavavajillas eficiente","No","No","Sí","Santa Fe","","Sí","40","12","Todo","Clase baja","Minera","","Ahorrar agua","Si","Clase media","10","Fortalecer al Estado","No"
"2020/08/04 12:20:15 p. m. GMT-3","31","2","Sí","Red pública en la vivienda","70","Agua potable","Agua Interna (consumida en las actividades domésticas)","Contaminación industrial","20","Alto","15","A mano","No","No","Sí","Santa Fe","","No","","0","Parcialmente","Clase media","Industrial","","Ahorrar agua","Si","Clase media","7","Fortalecer al sector privado","Sí"
"2020/08/04 12:30:19 p. m. GMT-3","60","4","Sí","Red pública en la vivienda","1992","Agua potable","Agua Interna (consumida en las actividades domésticas)","Cantidad de agua dulce insuficiente","15","Alto","1","A mano","No","No","Sí","Córdoba","","Sí","","0","Parcialmente","Clase baja","Industrial","1","Ahorrar agua","Si","Clase media","3","Fortalecer al sector privado","Sí"
"2020/08/04 12:39:43 p. m. GMT-3","68","2","Sí","Red pública en la vivienda","1960","Agua potable","Agua Interna (consumida en las actividades domésticas)","Corrupción","5","Alto","15","A mano","Sí","No","Sí","Santa Fe","","Sí","10","8","Parcialmente","Clase baja","Minera","0.5","Ahorrar agua","Si","Clase media","30 ","Fortalecer al sector privado","Sí"
"2020/08/04 12:40:01 p. m. GMT-3","68","2","Sí","Red pública en la vivienda","1960","Agua potable","Agua Interna (consumida en las actividades domésticas)","Corrupción","5","Alto","15","A mano","Sí","No","Sí","Santa Fe","","Sí","10","8","Parcialmente","Clase baja","Minera","0.5","Ahorrar agua","Si","Clase media","30 ","Fortalecer al sector privado","Sí"
"2020/08/04 12:40:29 p. m. GMT-3","68","2","Sí","Red pública en la vivienda","1960","Agua potable","Agua Interna (consumida en las actividades domésticas)","Corrupción","5","Alto","15","A mano","Sí","No","Sí","Santa Fe","","Sí","10","8","Parcialmente","Clase baja","Minera","0.5","Ahorrar agua","Si","Clase media","30 ","Fortalecer al sector privado","Sí"
"2020/08/04 12:46:04 p. m. GMT-3","60","1","Sí","Red pública en la vivienda","1970","Agua potable","Agua Interna (consumida en las actividades domésticas)","Corrupción","8","Bajo","15","A mano","No","No","Sí","Misiones","","Sí","5","","No","Clase alta","Minera","0","Ahorrar agua","Si","Clase media","15","Fortalecer al Estado","No"
"2020/08/04 1:32:45 p. m. GMT-3","57","1","Sí","Red pública en la vivienda","2000","Agua potable","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","10","Alto","10","A mano","No","No","Sí","Santa Fe","","Sí","15","","Todo","Clase media","Minera","2","Ahorrar dinero","Si","Clase media","7","Fortalecer al sector privado","Sí"
"2020/08/04 2:04:28 p. m. GMT-3","29","2","Sí","Red pública en la vivienda","10","Agua potable","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","5","Alto","","A mano","No","No","Sí","Santa Fe","","Sí","27","","No","Clase media","Minera","","Ahorrar agua","Si","Clase media","150","Fortalecer al sector privado","No"
"2020/08/04 5:56:33 p. m. GMT-3","61","4","Sí","Red pública en la vivienda","1983","Agua potable","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","5","Alto","60","A mano","No","No","Sí","Córdoba","","Sí","10","0","No","Clase alta","Industrial","1","Ahorrar agua","Si","Clase media","20","Fortalecer al Estado","Sí"
"2020/08/04 11:20:44 p. m. GMT-3","47","2","Sí","Red pública en la vivienda","70","Agua potable","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","15","Alto","30","A mano","Sí","No","Sí","Buenos Aires","8","Sí","90","","Todo","Clase baja","Minera","0.3","Ahorrar agua","Si","Clase media","3 ","Fortalecer al sector privado","Sí"
"2020/08/05 7:51:36 p. m. GMT-3","49","5","Sí","Red pública en la vivienda","1","Agua potable","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","15","Alto","10","A mano","No","No","Sí","Buenos Aires","1 ","No","0","0","Parcialmente","Clase baja","Comercio","5","Ahorrar agua","Si","Clase media","4","Fortalecer al Estado","Sí"
"2020/08/06 4:33:36 p. m. GMT-3","56","2","Sí","Red pública en la vivienda","60","Agua mineral","Agua Interna (consumida en las actividades domésticas)","Pobreza (falta de infraestructura)","10","Bajo","60","A mano","No","No","No","Buenos Aires","","No","30","","Parcialmente","Clase baja","Industrial","0.5","Ahorrar dinero","Si","Clase baja","1","Fortalecer al Estado","Sí"
